ID,Species,Population,Sex,Treatment,Timepoint,Mass.BMR,Mass.SMR,Mass.Heart,Mass.Heart.perGram,Hb,PercRBC,BMR,BMR.perGram,VO2max,VO2max.perGram,endurance,VCO2,RQ
K1,BCCH,Boulder,F,Control,0wk,10.81,10.36,NA,NA,NA,NA,0.700078146,0.064762086,4.129168635,0.398568401,7.6,2.666032139,0.654684043
K3,BCCH,Boulder,F,Control,0wk,11.65,12.13,NA,NA,NA,NA,0.756615946,0.064945575,4.417109078,0.364147492,12.88333333,3.028766972,0.685798797
M1,BCCH,Boulder,M,Control,0wk,11.27,11.88,NA,NA,NA,NA,0.707795915,0.062803542,5.46280744,0.459832276,2.916666667,3.390428147,0.628402233
M10,BCCH,Boulder,F,Control,0wk,11.19,11.37,NA,NA,NA,NA,0.565855922,0.050568,4.229404827,0.371979316,13.18333333,2.679838476,0.634927715
M11,BCCH,Boulder,F,Control,0wk,11.18,11.24,NA,NA,NA,NA,0.64678615,0.057852071,4.694197129,0.417633197,13.4,3.172414963,0.683861387
M12,BCCH,Boulder,M,Cold,0wk,12.81,11.79,NA,NA,NA,NA,0.760566362,0.059372862,4.668190777,0.395944934,16.7,3.187623679,0.683036147
M14,BCCH,Boulder,M,Control,0wk,13.49,12.87,NA,NA,NA,NA,0.679392059,0.050362643,4.23886402,0.329360064,12.41666667,2.984624265,0.70840488
M2,BCCH,Boulder,M,Cold,0wk,11.48,11.91,NA,NA,NA,NA,0.685670765,0.059727419,4.813499204,0.404156104,14.25,3.143350384,0.653053144
M4,BCCH,Boulder,F,Cold,0wk,10.42,10.96,NA,NA,NA,NA,0.621620896,0.059656516,4.428449803,0.404055639,9.4,2.871733319,0.666403918
M5,BCCH,Boulder,F,Cold,0wk,10.74,10.64,NA,NA,NA,NA,0.655916955,0.061072342,4.649821832,0.43701333,5.866666667,2.700960343,0.615760914
M6,BCCH,Boulder,M,Cold,0wk,12.44,11.89,NA,NA,NA,NA,0.692990674,0.055706646,4.202011804,0.353407216,15.43333333,2.605938402,0.620738845
M7,BCCH,Boulder,F,Control,0wk,11.37,11.29,NA,NA,NA,NA,0.64465412,0.056697812,4.588549489,0.406425995,12.85,2.964272572,0.650303599
M8,BCCH,Boulder,F,Cold,0wk,11.38,10.92,NA,NA,NA,NA,0.544923633,0.047884326,4.254960516,0.389648399,14.96666667,2.820905391,0.663052998
M9,BCCH,Boulder,M,Cold,0wk,11.39,11.21,NA,NA,NA,NA,0.639618587,0.056156153,4.438061901,0.395902043,11.53333333,3.093784454,0.697912429
K1,BCCH,Boulder,F,Control,3wk,10.78,10.4,NA,NA,NA,NA,0.552314645,0.051235125,4.056783004,0.390075289,10.81666667,2.697434956,0.668727834
K3,BCCH,Boulder,F,Control,3wk,11.9,11.46,NA,NA,NA,NA,0.5071694,0.042619277,4.926607585,0.42989595,3.333333333,3.317899426,0.703907644
M1,BCCH,Boulder,M,Control,3wk,12.33,11.61,NA,NA,NA,NA,0.548014059,0.044445585,4.473425786,0.385307992,8.25,3.200792069,0.716050899
M10,BCCH,Boulder,F,Control,3wk,11.68,11.37,NA,NA,NA,NA,0.7113561,0.060903776,4.652100364,0.409155705,6.166666667,3.044819384,0.662461154
M11,BCCH,Boulder,F,Control,3wk,11.14,10.66,NA,NA,NA,NA,0.703945857,0.063190831,4.709510211,0.441792703,8.833333333,2.876272806,0.634202596
M12,BCCH,Boulder,M,Cold,3wk,12.68,12.66,NA,NA,NA,NA,0.779924098,0.06150821,5.529323438,0.436755406,3.716666667,3.668323754,0.690281375
M14,BCCH,Boulder,M,Control,3wk,13.71,13,NA,NA,NA,NA,0.629850633,0.045940965,5.199587445,0.399968265,7.1,3.37899422,0.665223728
M2,BCCH,Boulder,M,Cold,3wk,13.29,12.96,NA,NA,NA,NA,0.49074556,0.036925926,5.828045265,0.449694851,10.45,3.777959838,0.649811134
M4,BCCH,Boulder,F,Cold,3wk,12.1,11.55,NA,NA,NA,NA,0.680028961,0.056200741,5.879764123,0.509070487,5,3.726818802,0.650849161
M5,BCCH,Boulder,F,Cold,3wk,11.33,11.34,NA,NA,NA,NA,0.683634669,0.060338453,5.336574837,0.470597428,5.966666667,3.108247403,0.599051842
M6,BCCH,Boulder,M,Cold,3wk,13.3,12.68,NA,NA,NA,NA,0.845254451,0.063552966,5.365411888,0.423139739,6.716666667,3.283357899,0.616756648
M7,BCCH,Boulder,F,Control,3wk,11.61,11.05,NA,NA,NA,NA,0.661552068,0.056981229,5.705424847,0.51632804,10.68333333,2.597507598,0.462396654
M8,BCCH,Boulder,F,Cold,3wk,12.56,12.33,NA,NA,NA,NA,0.655734104,0.052208129,6.006015857,0.487105909,6.75,3.858020894,0.645679545
M9,BCCH,Boulder,M,Cold,3wk,12.08,11.13,NA,NA,NA,NA,0.634906981,0.052558525,6.012137955,0.54017412,6.133333333,4.166253776,0.695656736
K1,BCCH,Boulder,F,Control,6wk,10.71,10.26,0.2217,0.021608187,21,0.640235911,0.658697355,0.061503021,4.272603107,0.416433051,7.566666667,2.62571122,0.616509951
K3,BCCH,Boulder,F,Control,6wk,11.47,11.17,0.2081,0.01863026,20.7,0.610323887,0.710956549,0.061984006,4.825032456,0.431963514,9,3.219562982,0.668136472
M1,BCCH,Boulder,M,Control,6wk,11.93,11.51,0.2564,0.022276281,NA,NA,0.662619804,0.055542314,5.754868182,0.499988548,6.7,3.658653046,0.65501898
M10,BCCH,Boulder,F,Control,6wk,11.32,11.15,0.2638,0.023659193,17.5,0.655707196,0.626457024,0.055340727,4.449984834,0.399101779,3,2.527302487,0.619208855
M11,BCCH,Boulder,F,Control,6wk,11.2,10.65,0.225,0.021126761,20.6,0.514723204,0.639351423,0.057084948,5.119648799,0.480718197,5.533333333,3.436382809,0.681063047
M12,BCCH,Boulder,M,Cold,6wk,12.94,13.12,0.2556,0.019481707,NA,NA,0.882589254,0.068206279,6.23934637,0.475559937,11.88333333,3.865456958,0.62160217
M14,BCCH,Boulder,M,Control,6wk,13.23,12.73,0.2475,0.019442262,21.6,0.65625,0.749456923,0.056648294,5.769654809,0.453232899,5.183333333,3.91006369,0.709136088
M2,BCCH,Boulder,M,Cold,6wk,13.14,13.02,0.2765,0.021236559,18.8,NA,0.760837199,0.057902374,6.290292013,0.483125347,6.783333333,4.031557835,0.645947965
M4,BCCH,Boulder,F,Cold,6wk,12.03,11.52,0.1797,0.015598958,20.2,0.54893617,0.689430599,0.057309277,6.370673013,0.55300981,3.15,3.990337181,0.631916543
M5,BCCH,Boulder,F,Cold,6wk,11.7,11.13,0.1802,0.016190476,19.7,0.62086514,0.691292147,0.059084799,4.614354594,0.414587115,12.23333333,3.249172579,0.704679384
M6,BCCH,Boulder,M,Cold,6wk,13.3,12.65,0.2207,0.01744664,18.4,0.609618105,0.850794844,0.063969537,5.392075523,0.426251029,12.96666667,3.329343399,0.617519507
M7,BCCH,Boulder,F,Control,6wk,11.6,11.02,0.2459,0.022313975,16.5,0.514568765,0.677171282,0.058376835,5.092315984,0.462097639,3.25,2.821458626,0.604618636
M8,BCCH,Boulder,F,Cold,6wk,12.7,12.58,0.485,0.038553259,17.7,NA,0.632258657,0.049784146,5.518884386,0.438703051,9.866666667,3.650641707,0.662298534
M9,BCCH,Boulder,M,Cold,6wk,12.22,12.08,0.2481,0.020538079,22,NA,0.710137762,0.058112746,5.847137343,0.484034548,9.466666667,4.035735349,0.692639129
