RecNumber,Label,Fat,Lean,FreeWater,TotalWater,Time,Date,Stage,Expected
1,Standard_2g,2.27,0.15,0,0.47,11:44:11,10-Sep-20,Before,2
2,Standard_2g,2.19,0.21,0.01,0.46,11:47:22,10-Sep-20,Before,2
3,Standard_2g,2.24,0.16,0.02,0.37,11:49:25,10-Sep-20,Before,2
4,Standard_5g,5.17,0.21,0,0.64,11:51:25,10-Sep-20,Before,5
5,Standard_5g,5.23,0.14,0.03,0.51,11:53:01,10-Sep-20,Before,5
6,Standard_5g,5.21,0.17,0,0.54,11:54:41,10-Sep-20,Before,5
7,Standard_15g,15.35,0.21,0.01,1.23,11:56:47,10-Sep-20,Before,15.3
8,Standard_15g,15.34,0.25,0.03,1.2,11:59:29,10-Sep-20,Before,15.3
9,Standard_15g,15.37,0.22,0.03,1.27,12:01:54,10-Sep-20,Before,15.3
10,K1_0wk,0.69,8.56,0.25,7.5,14:39:04,10-Sep-20,Sample,Sample
11,K1_0wk,0.61,8.64,0.25,7.49,14:40:45,10-Sep-20,Sample,Sample
12,K1_0wk,0.64,8.57,0.23,7.5,14:42:23,10-Sep-20,Sample,Sample
13,M12_0wk,0.39,10.41,0.21,8.99,14:55:22,10-Sep-20,Sample,Sample
14,M12_0wk,0.35,10.43,0.24,9.01,14:57:07,10-Sep-20,Sample,Sample
15,M12_0wk,0.39,10.33,0.3,9.04,14:58:49,10-Sep-20,Sample,Sample
16,M9_0wk,0.57,9.67,0.24,8.39,15:07:15,10-Sep-20,Sample,Sample
17,M9_0wk,0.62,9.62,0.25,8.32,15:09:01,10-Sep-20,Sample,Sample
18,M9_0wk,0.62,9.63,0.28,8.33,15:10:47,10-Sep-20,Sample,Sample
19,Standard_2g,2.2,0.21,0.03,0.41,15:14:02,10-Sep-20,After,2
20,Standard_2g,2.26,0.18,0,0.38,15:15:36,10-Sep-20,After,2
21,Standard_2g,2.25,0.1,0,0.3,15:17:34,10-Sep-20,After,2
22,Standard_5g,5.15,0.25,0.03,0.59,15:23:55,10-Sep-20,After,5
23,Standard_5g,5.17,0.17,0,0.62,15:25:36,10-Sep-20,After,5
24,Standard_5g,5.18,0.17,0,0.7,15:27:09,10-Sep-20,After,5
25,Standard_15g,15.34,0.16,0,1.23,15:29:17,10-Sep-20,After,15.3
26,Standard_15g,15.33,0.23,0.01,1.27,15:30:57,10-Sep-20,After,15.3
27,Standard_15g,15.3,0.23,0,1.41,15:32:31,10-Sep-20,After,15.3
28,Standard_15,15.29,0.28,0,1.36,10:38:03,11-Sep-20,Before,15.3
29,Standard_15,15.37,0.22,0,1.32,10:39:42,11-Sep-20,Before,15.3
30,Standard_15,15.32,0.26,0.01,1.3,10:41:22,11-Sep-20,Before,15.3
31,Standard_5,5.18,0.2,0,0.57,10:43:47,11-Sep-20,Before,5
32,Standard_5,5.2,0.18,0,0.52,10:45:25,11-Sep-20,Before,5
33,Standard_5,5.2,0.18,0,0.61,10:47:04,11-Sep-20,Before,5
34,Standard_2,2.28,0.12,0.02,0.32,10:55:19,11-Sep-20,Before,2
35,Standard_2,2.21,0.2,0,0.48,10:56:58,11-Sep-20,Before,2
36,Standard_2,2.25,0.17,0.03,0.45,10:58:37,11-Sep-20,Before,2
37,M2_0wk,0.31,10.29,0.23,8.87,11:10:55,11-Sep-20,Sample,Sample
38,M2_0wk,0.33,10.27,0.24,8.82,11:12:42,11-Sep-20,Sample,Sample
39,M2_0wk,0.3,10.32,0.23,8.98,11:14:29,11-Sep-20,Sample,Sample
40,M8_0wk,0.58,8.89,0.22,7.82,11:24:06,11-Sep-20,Sample,Sample
41,M8_0wk,0.59,8.88,0.28,7.79,11:25:53,11-Sep-20,Sample,Sample
