Time,Voltage 2 (V),Current (mA)
1:30:56 PM,0.003,0.2
1:30:57 PM,0.003,0.1
1:30:58 PM,0.003,0.1
1:30:59 PM,11.1595,0.2
1:31:00 PM,11.184,609.4
1:31:01 PM,11.182,603.1
1:31:02 PM,11.183,558.2
1:31:03 PM,11.169,558.7
1:31:04 PM,2.433,558.5
1:31:05 PM,0.003,558.1
1:31:06 PM,0.0035,0.3
1:31:07 PM,0.0035,0.2
1:31:08 PM,0.0035,0.2
1:31:09 PM,0.0035,0.1
1:31:10 PM,0.0035,0.2
1:31:11 PM,0.0035,0.1
1:31:12 PM,0.0035,0.2
1:31:13 PM,0.003,0.2
1:31:14 PM,0.003,0.1
1:31:15 PM,0.003,0.2
1:31:16 PM,0.003,0.1
1:31:17 PM,0.003,0.2
1:31:18 PM,0.0035,0.2
1:31:19 PM,0.003,0.1
1:31:20 PM,0.003,0.1
1:31:21 PM,0.003,0.2
1:31:22 PM,0.003,0.1
1:31:23 PM,0.003,0.1
1:31:24 PM,0.003,0.1
1:31:25 PM,0.003,0.1
1:31:26 PM,0.003,0.1
1:31:27 PM,0.003,0.1
1:31:28 PM,0.003,0.1
1:31:29 PM,0.003,0.1
1:31:30 PM,0.003,0.1
1:31:31 PM,0.003,0.1
1:31:32 PM,0.003,0.1
1:31:33 PM,0.003,0.1
1:31:34 PM,0.003,0.1
1:31:35 PM,0.003,0.1
1:31:36 PM,0.003,0.2
1:31:37 PM,0.003,0.1
1:31:38 PM,0.003,0.1
1:31:39 PM,0.003,0.1
1:31:40 PM,0.003,0.1
1:31:41 PM,0.003,0.1
1:31:42 PM,0.003,0.1
1:31:43 PM,0.003,0.1
1:31:44 PM,0.003,0.1
1:31:45 PM,0.003,0.1
1:31:46 PM,0.003,0.1
1:31:47 PM,0.003,0.1
1:31:48 PM,0.003,0.1
1:31:49 PM,0.003,0.1
1:31:50 PM,0.003,0.1
1:31:51 PM,0.003,0.1
1:31:52 PM,0.003,0.1
1:31:53 PM,0.003,0.1
1:31:54 PM,0.003,0.1
1:31:55 PM,0.003,0.2
1:31:56 PM,0.003,0.1
1:31:57 PM,0.003,0.1
1:31:58 PM,0.003,0.1
1:31:59 PM,0.003,0.1
1:32:00 PM,0.003,0.2
1:32:01 PM,0.003,0.1
1:32:02 PM,0.003,0.1
1:32:03 PM,0.003,0.1
1:32:04 PM,0.003,0.1
1:32:05 PM,0.003,0.1
1:32:06 PM,0.003,0.1
1:32:07 PM,11.17,0.1
1:32:08 PM,11.172,0.1
1:32:09 PM,11.1755,607.4
1:32:10 PM,11.1705,559
1:32:11 PM,11.152,557.6
1:32:12 PM,11.1285,556.8
1:32:13 PM,11.135,556.3
