Time,Voltage 2 (V),Current (mA)
3:11:12 PM,0.003,0.1
3:11:13 PM,0.003,0.1
3:11:14 PM,0.003,0.1
3:11:15 PM,0.003,0.1
3:11:16 PM,0.003,0.1
3:11:17 PM,0.003,0.1
3:11:18 PM,0.003,0.1
3:11:19 PM,0.003,0.1
3:11:20 PM,0.003,0.1
3:11:21 PM,0.003,0.1
3:11:22 PM,0.003,0
3:11:23 PM,0.003,0.1
3:11:24 PM,0.003,0.1
3:11:25 PM,0.003,0.1
3:11:26 PM,0.003,0.1
3:11:27 PM,0.003,0.1
3:11:28 PM,0.003,0.1
3:11:29 PM,0.003,0.1
3:11:30 PM,0.003,0
3:11:31 PM,0.003,0.1
3:11:32 PM,0.003,0.1
3:11:33 PM,0.003,0.1
3:11:34 PM,0.003,0.1
3:11:35 PM,0.003,0.1
3:11:36 PM,0.003,0.1
3:11:37 PM,0.003,0
3:11:38 PM,0.003,0
3:11:39 PM,10.785,555.4
3:11:40 PM,10.766,556.7
3:11:41 PM,10.745,556.9
3:11:42 PM,10.7335,557.3
3:11:43 PM,10.733,557.2
3:11:44 PM,10.722,557.3
3:11:45 PM,0.003,0.4
3:11:46 PM,0.003,0.2
3:11:47 PM,0.003,0.2
3:11:48 PM,0.003,0.1
3:11:49 PM,0.003,0.1
3:11:50 PM,0.003,0.1
3:11:51 PM,0.003,0.1
3:11:52 PM,0.003,0.1
3:11:53 PM,0.003,0.1
3:11:54 PM,0.003,0.1
3:11:55 PM,0.003,0.1
3:11:56 PM,0.003,0.1
3:11:57 PM,0.003,0.1
3:11:58 PM,0.003,0.1
3:11:59 PM,0.003,0.1
3:12:00 PM,0.003,0.1
3:12:01 PM,0.003,0.1
3:12:02 PM,0.003,0.1
3:12:03 PM,0.003,0.1
3:12:04 PM,0.003,0.1
3:12:05 PM,0.003,0.1
3:12:06 PM,0.003,0.1
3:12:07 PM,0.003,0.1
3:12:08 PM,0.003,0
3:12:09 PM,0.003,0.1
3:12:10 PM,0.003,0.1
3:12:11 PM,0.003,0.1
3:12:12 PM,0.003,0.1
3:12:13 PM,0.003,0.1
3:12:14 PM,0.003,0.1
3:12:15 PM,0.003,0.1
3:12:16 PM,0.003,0.1
3:12:17 PM,0.003,0
3:12:18 PM,0.003,0.1
3:12:19 PM,0.003,0.1
3:12:20 PM,0.003,0.1
3:12:21 PM,0.003,0.1
3:12:22 PM,0.003,0.1
3:12:23 PM,0.003,0
3:12:24 PM,0.003,0.1
3:12:25 PM,0.003,0.1
3:12:26 PM,0.003,0.1
3:12:27 PM,0.003,0.1
3:12:28 PM,0.003,0.1
3:12:29 PM,0.003,0.1
3:12:30 PM,0.003,0.1
3:12:31 PM,0.003,0.1
3:12:32 PM,0.003,0.1
3:12:33 PM,0.003,0.1
3:12:34 PM,0.003,0.1
3:12:35 PM,0.003,0.1
3:12:36 PM,0.003,0.1
3:12:37 PM,0.003,0.1
3:12:38 PM,0.003,0.1
3:12:39 PM,0.003,0.1
3:12:40 PM,0.003,0.1
3:12:41 PM,10.804,560.2
3:12:42 PM,10.8135,560.1
3:12:43 PM,10.7535,556.6
3:12:44 PM,10.7555,548
3:12:45 PM,10.7395,522.3
3:12:46 PM,10.735,522.6
3:12:47 PM,0.0035,0.7
3:12:48 PM,0.0035,0.3
3:12:49 PM,0.0035,0.1
3:12:50 PM,0.0035,0.1
3:12:51 PM,0.0035,0.2
3:12:52 PM,0.0035,0.1
3:12:53 PM,0.0035,0.1
3:12:54 PM,0.0035,0.1
3:12:55 PM,0.0035,0.1
3:12:56 PM,0.0035,0.1
3:12:57 PM,0.0035,0.2
3:12:58 PM,0.0035,0.1
3:12:59 PM,0.003,0.1
3:13:00 PM,0.0035,0
3:13:01 PM,0.0035,0.1
3:13:02 PM,0.003,0.1
3:13:03 PM,0.0035,0.1
3:13:04 PM,0.003,0.1
3:13:05 PM,0.003,0.1
3:13:06 PM,0.003,0.1
3:13:07 PM,0.003,0.1
3:13:08 PM,0.003,0.1
3:13:09 PM,0.003,0.1
3:13:10 PM,0.003,0.1
3:13:11 PM,0.003,0.1
3:13:12 PM,0.003,0.1
3:13:13 PM,0.003,0.1
3:13:14 PM,0.003,0.1
3:13:15 PM,0.003,0.1
3:13:16 PM,0.003,0.1
3:13:17 PM,0.003,0.1
3:13:18 PM,0.003,0.1
3:13:19 PM,0.003,0.1
3:13:20 PM,0.003,0.1
3:13:21 PM,0.003,0.1
3:13:22 PM,0.003,0.1
3:13:23 PM,0.003,0.1
3:13:24 PM,0.003,0.1
3:13:25 PM,0.003,0.1
3:13:26 PM,0.003,0.1
3:13:27 PM,0.003,0.1
3:13:28 PM,0.003,0
3:13:29 PM,0.003,0.1
3:13:30 PM,0.003,0.1
3:13:31 PM,0.003,0.1
3:13:32 PM,0.003,0.1
3:13:33 PM,0.003,0.1
3:13:34 PM,0.003,0.1
3:13:35 PM,0.003,0.1
3:13:36 PM,0.003,0.1
3:13:37 PM,0.003,0.1
3:13:38 PM,0.003,0.1
3:13:39 PM,0.003,0.1
3:13:40 PM,0.003,0.1
3:13:41 PM,0.003,0.1
3:13:42 PM,0.003,0.2
